Date,Day_Liberia,Day_SierraLeone,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria
8/26/14,157,199,648,1378,1026,17,430,694,422,6
8/20/14,151,193,607,1082,910,16,406,624,910,5
8/18/14,149,191,579,972,907,15,396,576,374,4
8/16/14,147,189,543,834,848,15,394,466,365,4
8/13/14,144,186,519,786,810,12,380,413,348,4
8/11/14,142,184,510,670,783,12,377,355,334,3
8/9/14,140,182,506,599,730,13,373,323,315,2
8/6/14,137,179,495,554,717,13,367,294,298,2
8/4/14,135,177,495,516,691,9,363,282,286,1
8/1/14,132,174,485,468,646,4,358,255,273,1
7/30/14,129,171,472,391,574,3,346,227,252,1
7/27/14,126,168,460,329,533,1,339,156,233,1
7/23/14,123,165,427,249,525,0,319,129,224,0
7/20/14,120,162,415,224,454,,314,127,219,
7/17/14,117,159,410,196,442,,310,116,206,
7/14/14,114,156,411,174,397,,310,106,197,
7/12/14,112,154,406,172,386,,304,105,194,
7/8/14,108,150,409,142,337,,309,88,142,
7/6/14,106,148,408,131,305,,307,84,127,
7/2/14,102,144,412,115,252,,305,75,101,
6/30/14,100,142,413,107,239,,303,65,99,
6/22/14,92,134,,51,,,,34,,
6/20/14,90,132,390,,158,,270,,34,
6/19/14,89,131,,41,,,,25,,
6/18/14,88,130,390,,136,,267,,28,
6/17/14,87,129,,,97,,,,49,
6/16/14,86,128,398,33,,,264,24,,
6/10/14,80,122,351,13,89,,226,24,7,
6/5/14,75,117,,13,81,,,,6,
6/3/14,73,115,344,13,,,215,12,6,
6/1/14,71,113,328,13,79,,208,12,6,
5/28/14,67,109,291,13,50,,193,12,6,
5/27/14,66,108,281,12,16,,186,11,5,
5/23/14,62,104,258,12,0,,174,11,0,
5/12/14,51,93,248,12,0,,171,11,0,
5/10/14,49,91,233,12,0,,157,11,0,
5/7/14,46,88,236,13,0,,158,11,0,
5/5/14,44,86,235,13,0,,157,11,0,
5/3/14,42,84,231,13,0,,155,11,0,
5/1/14,40,82,226,13,0,,149,11,0,
4/26/14,35,77,224,,0,,143,,0,
4/24/14,33,75,,35,0,,,,0,
4/23/14,32,74,218,,0,,141,,0,
4/22/14,31,73,,,0,,,,0,
4/21/14,30,72,,34,,,,11,,
4/20/14,29,71,208,,,,136,6,,
4/17/14,26,68,203,27,,,129,,,
4/16/14,25,67,197,27,,,122,13,,
4/15/14,24,66,,,12,,,,,
4/14/14,23,65,168,,,,108,,,
4/11/14,20,62,159,26,2,,106,13,2,
4/9/14,18,60,158,25,2,,101,12,2,
4/7/14,16,58,151,21,2,,95,10,2,
4/4/14,13,55,143,18,2,,86,7,2,
4/1/14,10,52,127,8,2,,83,5,2,
3/31/14,9,51,122,8,2,,80,4,2,
3/29/14,7,49,112,7,,,70,2,,
3/28/14,6,48,112,3,2,,70,3,2,
3/27/14,5,47,103,8,6,,66,6,5,
3/26/14,4,46,86,,,,62,,,
3/25/14,3,45,86,,,,60,,,
3/24/14,2,44,86,,,,59,,,
3/22/14,0,42,49,,,,29,,,
3/21/14,,41,,,,,,,,
3/20/14,,40,,,,,,,,
3/19/14,,39,,,,,,,,
3/18/14,,38,,,,,,,,
3/17/14,,37,,,,,,,,
3/16/14,,36,,,,,,,,
3/15/14,,35,,,,,,,,
3/14/14,,34,,,,,,,,
3/13/14,,33,,,,,,,,
3/12/14,,32,,,,,,,,
3/11/14,,31,,,,,,,,
3/10/14,,30,,,,,,,,
3/9/14,,29,,,,,,,,
3/8/14,,28,,,,,,,,
3/7/14,,27,,,,,,,,
3/6/14,,26,,,,,,,,
3/5/14,,25,,,,,,,,
3/4/14,,24,,,,,,,,
3/3/14,,23,,,,,,,,
3/2/14,,22,,,,,,,,
3/1/14,,21,,,,,,,,
2/28/14,,20,,,,,,,,
2/27/14,,19,,,,,,,,
2/26/14,,18,,,,,,,,
2/25/14,,17,,,,,,,,
2/24/14,,16,,,,,,,,
2/23/14,,15,,,,,,,,
2/22/14,,14,,,,,,,,
2/21/14,,13,,,,,,,,
2/20/14,,12,,,,,,,,
2/19/14,,11,,,,,,,,
2/18/14,,10,,,,,,,,
2/17/14,,9,,,,,,,,
2/16/14,,8,,,,,,,,
2/15/14,,7,,,,,,,,
2/14/14,,6,,,,,,,,
2/13/14,,5,,,,,,,,
2/12/14,,4,,,,,,,,
2/11/14,,3,,,,,,,,
2/10/14,,2,,,,,,,,
2/9/14,,1,,,,,,,,
2/8/14,,0,,,,,,,,