country,name
Guinea,Date
Guinea,Description
Guinea,Totals
Guinea,Conakry
Guinea,Gueckedou
Guinea,Macenta
Guinea,Dabola
Guinea,Kissidougou
Guinea,Dinguiraye
Guinea,Telimele
Guinea,Boffa
Guinea,Kouroussa
Guinea,Siguiri
Guinea,Pita
Guinea,Nzerekore
Guinea,Yomou
Guinea,Dubreka
Guinea,Forecariah
Guinea,Kerouane
Guinea,Coyah
Guinea,Dalaba
Guinea,Beyla
Guinea,Kindia
Guinea,Lola
Liberia,Date
Liberia,Variable
Liberia,National
Liberia,Bomi County
Liberia,Bong County
Liberia,Gbarpolu County
Liberia,Grand Bassa
Liberia,Grand Cape Mount
Liberia,Grand Gedeh
Liberia,Lofa County
Liberia,Margibi County
Liberia,Montserrado County
Liberia,Nimba County
Liberia,River Gee County
Liberia,RiverCess County
Liberia,Sinoe County
Liberia,Grand Kru
Liberia,Maryland County
Sierra Leone,date
Sierra Leone,variable
Sierra Leone,Kailahun
Sierra Leone,Kenema
Sierra Leone,Kono
Sierra Leone,Kambia
Sierra Leone,Koinadugu
Sierra Leone,Bombali
Sierra Leone,Tonkolili
Sierra Leone,Port Loko
Sierra Leone,Pujehun
Sierra Leone,Bo
Sierra Leone,Moyamba
Sierra Leone,Bonthe
Sierra Leone,Western area urban
Sierra Leone,Western area rural
Sierra Leone,National
DRC,Lokolia
DRC,Watsikengo
DRC,HGR Boende
DRC,Boende moke
DRC,Lokula
DRC,Mondombe